capital,faixa_remuneracao_media_sm,10 A 14,15 A 17,18 A 24,25 A 29,30 A 39,40 A 49,50 A 64,65 OU MAIS,sexo,ano
porto_alegre___rs,"05:3,01_a_4,00",1,10,1.097,3.764,11.119,11.144,8.452,660,F,2022
porto_alegre___rs,"06:4,01_a_5,00",0,3,490,2.449,6.967,6.104,4.923,440,F,2022
porto_alegre___rs,"07:5,01_a_7,00",0,5,300,1.776,7.998,6.644,4.153,412,F,2022
porto_alegre___rs,"08:7,01_a_10,00",0,1,200,780,5.609,6.219,4.276,441,F,2022
porto_alegre___rs,"09:10,01_a_15,00",0,0,213,455,3.198,4.763,4.074,367,F,2022
porto_alegre___rs,"10:15,01_a_20,00",0,0,125,222,1.104,1.874,1.907,263,F,2022
porto_alegre___rs,"11:mais_de_20,00",0,0,111,401,1.518,2.160,1.846,285,F,2022
campo_grande___ms,"00:ate_0,50",11,393,466,159,315,276,196,8,F,2022
campo_grande___ms,"01:0,51_a_1,00",7,790,3.210,1.493,2.179,1.691,1.116,80,F,2022
campo_grande___ms,"02:1,01_a_1,50",1,223,9.426,7.353,11.788,9.447,6.381,327,F,2022
campo_grande___ms,"03:1,51_a_2,00",0,12,2.331,3.185,5.919,4.753,2.791,162,F,2022
campo_grande___ms,"04:2,01_a_3,00",0,4,1.063,2.601,6.181,5.731,4.043,334,F,2022
campo_grande___ms,"05:3,01_a_4,00",0,0,296,1.209,3.698,3.370,2.074,137,F,2022
