CBO 2002 Gr Grupo = {ñ class}
;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
;01:0,51 a 1,00;2;78;605;467;656;344;180;32;3;2.367;0;48;462;405;479;236;86;8;0;1.724;2;126;1.067;872;1.135;580;266;40;3;4.091
;02:1,01 a 1,50;3;65;6.766;5.587;7.093;3.937;2.095;210;13;25.769;0;33;4.016;3.617;6.673;5.439;3.605;79;8;23.470;3;98;10.782;9.204;13.766;9.376;5.700;289;21;49.239
;03:1,51 a 2,00;0;13;2.071;3.059;5.411;3.491;1.905;160;10;16.120;0;6;1.230;1.550;3.273;2.373;1.161;47;2;9.642;0;19;3.301;4.609;8.684;5.864;3.066;207;12;25.762
;04:2,01 a 3,00;0;2;1.113;2.340;5.771;4.307;2.486;270;19;16.308;0;2;664;1.191;4.479;5.940;3.158;103;20;15.557;0;4;1.777;3.531;10.250;10.247;5.644;373;39;31.865
;05:3,01 a 4,00;1;1;556;899;2.471;2.324;1.047;71;7;7.377;1;2;262;505;2.242;2.460;1.219;39;21;6.751;2;3;818;1.404;4.713;4.784;2.266;110;28;14.128
;06:4,01 a 5,00;1;1;402;1.000;3.776;2.435;983;68;8;8.674;0;2;169;345;1.546;2.472;1.211;32;15;5.792;1;3;571;1.345;5.322;4.907;2.194;100;23;14.466
;07:5,01 a 7,00;0;0;328;720;2.805;3.325;2.194;134;1;9.507;1;0;139;400;1.652;2.524;1.519;61;6;6.302;1;0;467;1.120;4.457;5.849;3.713;195;7;15.809
;08:7,01 a 10,00;0;0;105;421;1.598;1.757;981;48;3;4.913;0;0;72;241;950;1.433;648;26;1;3.371;0;0;177;662;2.548;3.190;1.629;74;4;8.284
;09:10,01 a 15,00;0;0;36;237;1.247;1.293;732;33;1;3.579;0;0;28;125;611;924;400;16;0;2.104;0;0;64;362;1.858;2.217;1.132;49;1;5.683
;10:15,01 a 20,00;0;0;15;96;567;695;383;22;0;1.778;0;0;9;50;206;311;162;12;0;750;0;0;24;146;773;1.006;545;34;0;2.528
;11:Mais de 20,00;0;1;22;123;700;1.017;752;51;0;2.666;0;0;33;110;387;436;243;26;2;1.237;0;1;55;233;1.087;1.453;995;77;2;3.903
;{ñ class};0;0;11;25;35;33;12;1;0;117;0;0;9;14;15;7;3;0;0;48;0;0;20;39;50;40;15;1;0;165
221100:Terezina - PI;Total;1;292;12.214;13.443;27.059;21.546;13.343;1.707;111;89.716;3;184;6.762;8.316;19.969;23.636;16.607;2.638;101;78.216;4;476;18.976;21.759;47.028;45.182;29.950;4.345;212;167.932
;00:Até 0,50;1;53;39;35;102;68;35;2;1;336;2;75;28;26;49;48;26;1;1;256;3;128;67;61;151;116;61;3;2;592
;01:0,51 a 1,00;0;82;1.312;931;1.248;771;434;53;4;4.835;1;34;754;587;1.096;837;440;43;1;3.793;1;116;2.066;1.518;2.344;1.608;874;96;5;8.628
;02:1,01 a 1,50;0;151;8.072;6.964;8.762;4.694;3.051;730;53;32.477;0;71;4.562;4.682;7.195;4.869;3.847;1.323;62;26.611;0;222;12.634;11.646;15.957;9.563;6.898;2.053;115;59.088
;03:1,51 a 2,00;0;5;1.485;2.020;3.542;2.287;1.356;148;8;10.851;0;1;704;1.144;2.596;2.166;1.263;203;16;8.093;0;6;2.189;3.164;6.138;4.453;2.619;351;24;18.944
;04:2,01 a 3,00;0;0;838;1.606;4.008;3.320;1.907;221;16;11.916;0;2;438;998;4.104;4.430;2.563;337;7;12.879;0;2;1.276;2.604;8.112;7.750;4.470;558;23;24.795
;05:3,01 a 4,00;0;1;220;987;4.699;3.290;1.757;136;8;11.098;0;0;104;326;2.021;6.369;5.874;522;8;15.224;0;1;324;1.313;6.720;9.659;7.631;658;16;26.322
;06:4,01 a 5,00;0;0;71;258;1.173;1.222;601;66;1;3.392;0;0;51;169;743;1.294;809;94;3;3.163;0;0;122;427;1.916;2.516;1.410;160;4;6.555
;07:5,01 a 7,00;0;0;62;231;1.625;2.650;1.821;158;6;6.553;0;1;47;171;976;1.647;792;46;1;3.681;0;1;109;402;2.601;4.297;2.613;204;7;10.234
;08:7,01 a 10,00;0;0;27;143;609;1.169;816;61;4;2.829;0;0;25;83;478;807;332;14;0;1.739;0;0;52;226;1.087;1.976;1.148;75;4;4.568
;09:10,01 a 15,00;0;0;16;83;425;785;516;31;0;1.856;0;0;14;48;276;502;181;7;0;1.028;0;0;30;131;701;1.287;697;38;0;2.884
;10:15,01 a 20,00;0;0;5;57;313;424;309;8;0;1.116;0;0;4;25;123;187;111;9;1;460;0;0;9;82;436;611;420;17;1;1.576
;11:Mais de 20,00;0;0;6;45;388;705;622;54;1;1.821;0;0;4;27;220;293;175;10;0;729;0;0;10;72;608;998;797;64;1;2.550
;{ñ class};0;0;61;83;165;161;118;39;9;636;0;0;27;30;92;187;194;29;1;560;0;0;88;113;257;348;312;68;10;1.196
