;;Sexo Trabalhador;Escolaridade após 2005
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total
172100:Palmas - TO;Total;84;3.206;347;1.073;3.038;2.374;36.233;1.640;16.155;643;281;65.074;17;4.133;82;293;1.750;1.250;31.195;1.790;25.886;588;264;67.248;101;7.339;429;1.366;4.788;3.624;67.428;3.430;42.041;1.231;545;132.322
;00:Até 0,50;0;1;1;41;5;244;106;27;23;5;4;457;0;0;0;16;7;277;139;44;25;0;3;511;0;1;1;57;12;521;245;71;48;5;7;968
;01:0,51 a 1,00;12;775;6;67;182;256;1.605;87;83;10;1;3.084;3;681;6;38;165;251;1.971;110;139;13;2;3.379;15;1.456;12;105;347;507;3.576;197;222;23;3;6.463
;02:1,01 a 1,50;48;1.867;120;368;1.149;862;11.168;448;420;6;0;16.456;14;2.962;58;171;1.307;541;13.970;720;1.020;12;2;20.777;62;4.829;178;539;2.456;1.403;25.138;1.168;1.440;18;2;37.233
;03:1,51 a 2,00;13;261;90;243;620;421;6.361;291;554;14;1;8.869;0;175;13;36;142;112;4.337;372;1.162;10;3;6.362;13;436;103;279;762;533;10.698;663;1.716;24;4;15.231
;04:2,01 a 3,00;10;190;93;247;705;401;6.659;369;1.540;20;3;10.237;0;275;0;14;59;46;4.678;298;2.780;29;7;8.186;10;465;93;261;764;447;11.337;667;4.320;49;10;18.423
;05:3,01 a 4,00;1;28;14;43;181;93;2.692;146;2.985;33;4;6.220;0;12;0;5;27;7;1.826;101;6.515;40;7;8.540;1;40;14;48;208;100;4.518;247;9.500;73;11;14.760
;06:4,01 a 5,00;0;21;2;13;38;36;1.325;81;2.072;51;10;3.649;0;10;0;3;12;6;2.158;54;3.699;49;5;5.996;0;31;2;16;50;42;3.483;135;5.771;100;15;9.645
;07:5,01 a 7,00;0;12;3;16;55;19;1.726;101;2.611;70;29;4.642;0;6;0;1;4;4;1.079;50;5.551;57;25;6.777;0;18;3;17;59;23;2.805;151;8.162;127;54;11.419
;08:7,01 a 10,00;0;4;3;2;12;6;2.203;37;1.837;156;23;4.283;0;2;4;0;4;1;487;24;2.164;170;17;2.873;0;6;7;2;16;7;2.690;61;4.001;326;40;7.156
