capital,faixa_remuneracao_media_sm,10 A 14,15 A 17,18 A 24,25 A 29,30 A 39,40 A 49,50 A 64,65 OU MAIS,sexo,ano
porto_alegre___rs,"04:2,01_a_3,00",0,9,3234,7242,15931,16565,12919,908,F,2022
porto_alegre___rs,"05:3,01_a_4,00",1,10,1097,3764,11119,11144,8452,660,F,2022
porto_alegre___rs,"06:4,01_a_5,00",0,3,490,2449,6967,6104,4923,440,F,2022
porto_alegre___rs,"07:5,01_a_7,00",0,5,300,1776,7998,6644,4153,412,F,2022
porto_alegre___rs,"08:7,01_a_10,00",0,1,200,780,5609,6219,4276,441,F,2022
porto_alegre___rs,"09:10,01_a_15,00",0,0,213,455,3198,4763,4074,367,F,2022
porto_alegre___rs,"10:15,01_a_20,00",0,0,125,222,1104,1874,1907,263,F,2022
porto_alegre___rs,"11:mais_de_20,00",0,0,111,401,1518,2160,1846,285,F,2022
campo_grande___ms,"00:ate_0,50",11,393,466,159,315,276,196,8,F,2022
campo_grande___ms,"01:0,51_a_1,00",7,790,3210,1493,2179,1691,1116,80,F,2022
campo_grande___ms,"02:1,01_a_1,50",1,223,9426,7353,11788,9447,6381,327,F,2022
campo_grande___ms,"03:1,51_a_2,00",0,12,2331,3185,5919,4753,2791,162,F,2022
campo_grande___ms,"04:2,01_a_3,00",0,4,1063,2601,6181,5731,4043,334,F,2022
campo_grande___ms,"05:3,01_a_4,00",0,0,296,1209,3698,3370,2074,137,F,2022
campo_grande___ms,"06:4,01_a_5,00",0,1,186,902,3290,3357,2127,117,F,2022
campo_grande___ms,"07:5,01_a_7,00",0,0,135,618,2704,3377,2612,223,F,2022
campo_grande___ms,"08:7,01_a_10,00",0,0,57,252,1633,1940,1540,127,F,2022
campo_grande___ms,"09:10,01_a_15,00",0,0,68,174,975,1593,1401,111,F,2022
campo_grande___ms,"10:15,01_a_20,00",0,0,43,78,299,557,619,50,F,2022
campo_grande___ms,"11:mais_de_20,00",0,0,37,99,409,516,445,37,F,2022
cuiaba___mt,"00:ate_0,50",9,397,346,86,160,114,44,4,F,2022
cuiaba___mt,"01:0,51_a_1,00",2,383,2195,963,1374,978,605,28,F,2022
cuiaba___mt,"02:1,01_a_1,50",0,108,7733,5472,9369,7081,4033,181,F,2022
cuiaba___mt,"03:1,51_a_2,00",0,6,2085,2872,5754,4559,2184,91,F,2022
cuiaba___mt,"04:2,01_a_3,00",0,5,1028,2322,5326,4448,2547,158,F,2022
cuiaba___mt,"05:3,01_a_4,00",0,1,304,1187,3600,3429,2640,192,F,2022
cuiaba___mt,"06:4,01_a_5,00",0,2,117,664,2294,2059,1423,123,F,2022
cuiaba___mt,"07:5,01_a_7,00",0,2,117,709,3672,4336,3173,220,F,2022
cuiaba___mt,"08:7,01_a_10,00",0,0,77,211,2050,2749,1768,136,F,2022
cuiaba___mt,"09:10,01_a_15,00",0,0,61,128,1379,1983,1420,129,F,2022
cuiaba___mt,"10:15,01_a_20,00",0,0,28,52,333,788,849,66,F,2022
cuiaba___mt,"11:mais_de_20,00",0,0,35,94,464,622,556,79,F,2022
goiania___go,"00:ate_0,50",42,4694,1407,259,389,267,171,19,F,2022
