;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
;09:10,01 a 15,00;0;0;123;384;2.143;2.991;3.401;766;0;9.808;0;0;74;232;1.495;2.172;2.804;578;0;7.355;0;0;0;0;0;0;0;0;0;0;197;616;3.638;5.163;6.205;1.344;0;17.163
;10:15,01 a 20,00;0;0;44;169;670;1.080;1.273;320;0;3.556;0;0;47;176;524;757;908;232;0;2.644;0;0;0;0;0;0;0;0;0;0;91;345;1.194;1.837;2.181;552;0;6.200
;11:Mais de 20,00;0;0;46;168;912;1.348;1.629;493;0;4.596;0;0;28;162;668;861;998;285;0;3.002;0;0;0;0;0;0;0;0;0;0;74;330;1.580;2.209;2.627;778;0;7.598
;{ñ class};0;17;1.226;1.873;3.844;3.651;3.513;849;0;14.973;1;13;663;1.093;2.365;2.188;1.626;241;0;8.190;1;0;0;0;0;0;0;1;1;30;1.890;2.966;6.209;5.839;5.139;1.090;0;23.164
160030:Macapá - AP;Total;1;77;6.112;8.212;18.076;14.536;11.718;2.005;0;60.737;3;49;4.375;6.107;14.856;14.132;11.962;1.964;0;53.448;0;0;0;0;0;0;0;0;4;126;10.487;14.319;32.932;28.668;23.680;3.969;0;114.185
;00:Até 0,50;1;41;130;46;43;30;121;33;0;445;2;30;160;31;47;45;109;40;0;464;0;0;0;0;0;0;0;0;3;71;290;77;90;75;230;73;0;909
;01:0,51 a 1,00;0;28;1.132;806;1.058;554;470;68;0;4.116;0;16;848;655;829;575;579;129;0;3.631;0;0;0;0;0;0;0;0;0;44;1.980;1.461;1.887;1.129;1.049;197;0;7.747
;02:1,01 a 1,50;0;5;3.351;3.760;5.522;3.291;1.796;130;0;17.855;0;1;2.257;2.623;4.483;3.261;2.280;118;0;15.023;0;0;0;0;0;0;0;0;0;6;5.608;6.383;10.005;6.552;4.076;248;0;32.878
;03:1,51 a 2,00;0;0;584;1.023;2.299;1.693;954;87;0;6.640;0;0;365;714;1.560;1.046;442;39;0;4.166;0;0;0;0;0;0;0;0;0;0;949;1.737;3.859;2.739;1.396;126;0;10.806
;04:2,01 a 3,00;0;1;245;728;2.096;1.853;1.508;259;0;6.690;0;0;214;544;1.421;1.090;998;321;0;4.588;0;0;0;0;0;0;0;0;0;1;459;1.272;3.517;2.943;2.506;580;0;11.278
