;;Sexo Trabalhador;Tipo Vínculo
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;55:Aprendiz;60:CLT U/ PJ Determinado;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total
530010:Brasília - DF;Total;471.467;3.366;1.035;1.543;175.295;285;16.826;226;169;6.533;22.792;136;0;36;574;682;3.776;396;0;705.137;387.718;1.959;401;357;111.160;279;15.936;3;103;6.994;16.916;39;0;3;229;945;995;878;0;544.915;0;0;1;1;859.185;5.325;1.436;1.900;286.455;564;32.762;229;272;13.527;39.709;175;0;39;803;1.627;4.771;1.274;0;1.250.053
;00:Até 0,50;1.387;6;4;1;429;0;83;11;1;3.548;1.281;3;0;0;0;1;0;0;0;6.755;1.225;3;1;0;303;2;47;1;1;3.720;995;2;0;0;0;6;0;0;0;6.306;0;0;0;0;2.612;9;5;1;732;2;130;12;2;7.268;2.276;5;0;0;0;7;0;0;0;13.061
;01:0,51 a 1,00;14.345;271;38;100;2.422;9;372;6;20;2.503;5.789;37;0;2;1;51;1.713;0;0;27.679;15.006;127;17;29;647;28;225;0;12;2.735;4.666;11;0;1;0;99;279;0;0;23.882;0;0;0;0;29.351;398;55;129;3.069;37;597;6;32;5.238;10.455;48;0;3;1;150;1.992;0;0;51.561
;02:1,01 a 1,50;132.175;1.049;372;520;2.872;10;1.657;8;71;186;7.847;53;0;14;0;180;1.474;0;0;148.488;136.688;695;228;150;826;24;1.592;0;46;262;6.625;16;0;1;2;223;255;3;0;147.636;0;0;0;0;268.863;1.744;600;670;3.698;34;3.249;8;117;448;14.472;69;0;15;2;403;1.729;3;0;296.124
;03:1,51 a 2,00;77.310;658;265;266;2.246;8;2.046;6;14;6;2.543;17;0;5;1;101;81;192;0;85.765;49.734;383;42;58;965;9;1.580;0;6;8;1.563;2;0;1;1;61;2;523;0;54.938;0;0;0;0;127.044;1.041;307;324;3.211;17;3.626;6;20;14;4.106;19;0;6;2;162;83;715;0;140.703
;04:2,01 a 3,00;72.656;469;143;259;3.336;10;3.216;5;30;4;1.752;10;0;5;1;71;125;86;0;82.178;43.982;263;31;33;3.695;13;2.836;0;2;7;1.010;4;0;0;1;74;74;105;0;52.130;0;0;0;0;116.638;732;174;292;7.031;23;6.052;5;32;11;2.762;14;0;5;2;145;199;191;0;134.308
;05:3,01 a 4,00;31.143;178;53;85;5.904;7;2.298;3;0;7;805;5;0;0;3;34;162;58;0;40.745;22.200;99;22;5;7.327;8;1.985;0;2;4;423;0;0;0;1;68;173;85;0;32.402;0;0;0;0;53.343;277;75;90;13.231;15;4.283;3;2;11;1.228;5;0;0;4;102;335;143;0;73.147
;06:4,01 a 5,00;16.346;75;22;28;11.586;5;1.814;8;2;3;417;1;0;0;1;23;56;5;0;30.392;17.592;68;12;10;10.494;9;2.333;0;0;5;185;0;0;0;2;43;54;14;0;30.821;0;0;0;0;33.938;143;34;38;22.080;14;4.147;8;2;8;602;1;0;0;3;66;110;19;0;61.213
;07:5,01 a 7,00;17.702;79;20;16;28.829;16;1.440;2;0;1;387;0;0;0;0;51;140;40;0;48.723;17.404;60;12;9;21.121;16;1.497;0;1;5;219;0;0;0;0;105;140;129;0;40.718;0;0;0;0;35.106;139;32;25;49.950;32;2.937;2;1;6;606;0;0;0;0;156;280;169;0;89.441
;08:7,01 a 10,00;17.576;47;12;8;39.229;42;1.945;6;0;0;350;1;0;0;4;51;19;15;0;59.305;17.929;38;7;1;26.687;44;2.253;0;2;5;107;0;0;0;6;82;16;18;0;47.195;0;0;0;0;35.505;85;19;9;65.916;86;4.198;6;2;5;457;1;0;0;10;133;35;33;0;106.500
;09:10,01 a 15,00;18.907;44;7;7;36.620;64;1.517;13;2;0;145;0;0;0;9;9;6;0;0;57.350;15.265;12;1;0;18.280;50;1.304;0;3;0;38;0;0;0;8;13;2;1;0;34.977;0;0;0;0;34.172;56;8;7;54.900;114;2.821;13;5;0;183;0;0;0;17;22;8;1;0;92.327
;10:15,01 a 20,00;7.813;15;7;1;20.412;46;301;13;0;0;21;0;0;0;20;5;0;0;0;28.654;4.756;8;2;0;10.787;41;193;0;2;0;17;0;0;0;15;2;0;0;0;15.823;0;0;0;0;12.569;23;9;1;31.199;87;494;13;2;0;38;0;0;0;35;7;0;0;0;44.477
;11:Mais de 20,00;12.329;39;2;3;20.297;68;22;62;0;0;32;0;0;0;96;11;0;0;0;32.961;8.127;6;1;0;9.318;34;6;0;3;0;21;0;0;0;40;4;0;0;0;17.560;0;0;0;0;20.456;45;3;3;29.615;102;28;62;3;0;53;0;0;0;136;15;0;0;0;50.521
;{ñ class};51.778;436;90;249;1.113;0;115;83;29;275;1.423;9;0;10;438;94;0;0;0;56.142;37.810;197;25;62;710;1;85;2;23;243;1.047;4;0;0;153;165;0;0;0;40.527;0;0;1;1;89.588;633;115;311;1.823;1;200;85;52;518;2.471;13;0;10;591;259;0;0;0;96.670
{ñ class};Total;14.640.989;476.875;305.084;475.148;872.260;412.474;395.690;71.387;64.836;152.939;897.613;20.629;95;5.776;14.034;78.104;5.463;1.173;106.751;18.997.320;9.876.654;177.363;75.726;85.675;1.675.733;766.182;525.167;5.986;59.470;162.778;666.968;6.313;40;1.014;7.725;53.103;9.167;1.697;219.899;14.376.660;12;0;25;37;24.517.655;654.238;380.810;560.823;2.547.993;1.178.656;920.857;77.373;124.306;315.717;1.564.606;26.942;135;6.790;21.759;131.207;14.630;2.870;326.650;33.374.017
;00:Até 0,50;42.931;2.242;920;1.053;561;441;998;890;1.135;49.327;33.524;801;21;58;8;555;11;0;566;136.042;51.071;1.870;359;610;1.065;674;1.969;127;1.144;50.954;31.595;429;3;20;7;626;51;0;1.288;143.862;0;0;0;0;94.002;4.112;1.279;1.663;1.626;1.115;2.967;1.017;2.279;100.281;65.119;1.230;24;78;15;1.181;62;0;1.854;279.904
;01:0,51 a 1,00;533.611;47.445;17.609;34.729;22.710;18.067;55.228;1.704;8.765;90.522;187.128;5.555;20;901;79;8.049;716;52;21.710;1.054.600;635.115;23.618;4.910;9.688;36.221;30.027;75.841;275;9.926;98.782;177.251;2.233;11;224;59;9.341;1.232;43;39.383;1.154.180;0;0;0;0;1.168.726;71.063;22.519;44.417;58.931;48.094;131.069;1.979;18.691;189.304;364.379;7.788;31;1.125;138;17.390;1.948;95;61.093;2.208.780
;02:1,01 a 1,50;3.722.272;152.686;97.408;156.149;127.452;99.173;105.591;1.349;21.165;7.296;328.504;6.940;23;1.894;28;23.827;1.597;119;39.356;4.892.829;3.923.582;79.730;38.081;40.458;263.575;180.600;153.371;244;21.803;6.959;284.485;2.408;13;298;59;18.861;2.837;196;71.029;5.088.589;0;0;0;0;7.645.854;232.416;135.489;196.607;391.027;279.773;258.962;1.593;42.968;14.255;612.989;9.348;36;2.192;87;42.688;4.434;315;110.385;9.981.418
;03:1,51 a 2,00;3.207.546;101.807;68.596;97.599;124.773;82.695;71.625;1.057;15.182;438;166.208;3.846;7;662;96;16.885;794;124;19.159;3.979.099;2.083.649;29.275;14.737;15.372;222.331;117.156;95.677;155;12.093;401;86.659;610;2;60;101;9.575;1.294;217;39.139;2.728.503;0;0;0;0;5.291.195;131.082;83.333;112.971;347.104;199.851;167.302;1.212;27.275;839;252.867;4.456;9;722;197;26.460;2.088;341;58.298;6.707.602
;04:2,01 a 3,00;3.011.139;86.210;58.737;94.745;199.463;103.891;71.604;1.839;7.596;488;97.140;2.003;8;408;114;14.736;894;220;13.736;3.764.971;1.294.083;17.241;7.411;7.892;389.275;180.580;101.653;244;6.081;545;37.740;254;4;10;176;7.747;1.783;413;39.134;2.092.266;0;0;0;0;4.305.222;103.451;66.148;102.637;588.738;284.471;173.257;2.083;13.677;1.033;134.880;2.257;12;418;290;22.483;2.677;633;52.870;5.857.237
;05:3,01 a 4,00;1.204.872;22.111;20.844;28.789;121.891;45.420;34.242;1.615;1.784;296;24.777;323;0;44;89;4.066;677;248;4.517;1.516.605;491.553;5.266;2.088;1.966;265.958;107.566;44.726;176;1.564;329;11.612;39;1;2;57;2.288;1.044;336;15.726;952.297;0;0;0;0;1.696.425;27.377;22.932;30.755;387.849;152.986;78.968;1.791;3.348;625;36.389;362;1;46;146;6.354;1.721;584;20.243;2.468.902
;06:4,01 a 5,00;564.935;7.634;8.078;9.627;73.755;23.867;19.826;1.174;650;182;9.094;113;1;9;59;1.620;269;142;2.033;723.068;236.472;2.329;871;776;175.105;65.269;21.254;118;530;186;4.327;18;3;1;38;782;474;224;6.004;514.781;0;0;0;0;801.407;9.963;8.949;10.403;248.860;89.136;41.080;1.292;1.180;368;13.421;131;4;10;97;2.402;743;366;8.037;1.237.849
;07:5,01 a 7,00;511.771;5.242;5.586;6.152;79.448;19.683;17.818;1.795;529;262;7.231;57;2;8;108;1.187;161;159;1.680;658.879;218.472;2.166;823;690;176.437;54.410;16.135;182;437;414;3.266;7;1;2;70;587;168;169;3.453;477.889;0;0;0;0;730.243;7.408;6.409;6.842;255.885;74.093;33.953;1.977;966;676;10.497;64;3;10;178;1.774;329;328;5.133;1.136.768
;08:7,01 a 10,00;324.058;2.150;2.688;2.341;50.788;8.653;11.148;1.972;532;125;4.167;16;0;8;196;1.048;188;82;1.396;411.556;133.928;986;545;296;81.433;16.898;8.714;165;479;200;1.568;3;0;1;114;480;150;84;1.633;247.677;0;0;0;0;457.986;3.136;3.233;2.637;132.221;25.551;19.862;2.137;1.011;325;5.735;19;0;9;310;1.528;338;166;3.029;659.233
;09:10,01 a 15,00;230.508;1.566;1.963;1.679;40.974;3.765;4.808;2.274;524;36;2.155;5;0;6;257;701;92;22;1.527;292.862;92.244;565;396;275;38.435;3.902;3.277;197;325;43;767;2;0;0;198;239;81;12;1.501;142.459;0;0;0;0;322.752;2.131;2.359;1.954;79.409;7.667;8.085;2.471;849;79;2.922;7;0;6;455;940;173;34;3.028;435.321
;10:15,01 a 20,00;104.215;690;975;997;17.169;1.061;675;1.411;191;1;618;1;0;0;956;283;46;4;455;129.748;43.794;235;164;148;11.534;701;436;105;107;2;207;0;0;0;694;103;26;1;440;58.697;0;0;0;0;148.009;925;1.139;1.145;28.703;1.762;1.111;1.516;298;3;825;1;0;0;1.650;386;72;5;895;188.445
;11:Mais de 20,00;171.627;1.008;1.661;1.615;6.066;392;263;10.379;111;0;743;4;0;2;2.680;331;2;0;173;197.057;69.451;201;147;150;3.412;220;120;181;42;2;239;0;0;0;1.541;113;3;0;99;75.921;0;0;0;0;241.078;1.209;1.808;1.765;9.478;612;383;10.560;153;2;982;4;0;2;4.221;444;5;0;272;272.978
;{ñ class};1.011.504;46.084;20.019;39.673;7.210;5.366;1.864;43.928;6.672;3.966;36.324;965;13;1.776;9.364;4.816;16;1;443;1.240.004;603.240;13.881;5.194;7.354;10.952;8.179;1.994;3.817;4.939;3.961;27.252;310;2;396;4.611;2.361;24;2;1.070;699.539;12;0;25;37;1.614.756;59.965;25.213;47.027;18.162;13.545;3.858;47.745;11.611;7.927;63.601;1.275;15;2.172;13.975;7.177;40;3;1.513;1.939.580
Total;Total;22.395.535;503.638;329.192;481.157;2.512.145;473.167;587.388;86.519;136.167;238.402;1.335.026;21.661;114;5.917;22.789;105.076;45.771;50.719;114.029;29.444.412;15.953.918;218.287;90.821;86.788;3.365.490;866.266;819.207;6.590;125.618;263.738;1.031.008;7.339;42;1.021;12.244;74.627;63.952;117.769;241.671;23.346.396;14;1;41;56;38.349.467;721.925;420.013;567.945;5.877.635;1.339.433;1.406.595;93.109;261.785;502.141;2.366.075;29.000;156;6.938;35.033;179.703;109.723;168.488;355.700;52.790.864
;00:Até 0,50;69.678;2.340;1.022;1.069;4.341;858;1.912;948;2.791;85.040;51.348;839;22;58;11;757;3.245;1.049;576;227.904;79.333;2.231;435;615;9.019;1.518;3.161;134;3.257;91.077;47.738;489;3;20;10;824;4.930;1.465;1.306;247.565;0;0;0;0;149.011;4.571;1.457;1.684;13.360;2.376;5.073;1.082;6.048;176.117;99.086;1.328;25;78;21;1.581;8.175;2.514;1.882;475.469
;01:0,51 a 1,00;778.061;49.252;18.449;35.240;36.396;20.425;68.923;1.818;17.195;133.782;283.350;5.820;21;928;101;10.479;8.377;8.433;21.883;1.498.933;942.213;25.533;5.529;9.804;52.601;33.602;94.437;281;19.473;152.188;272.850;2.477;11;227;76;12.820;11.160;19.207;39.655;1.694.144;0;0;0;0;1.720.274;74.785;23.978;45.044;88.997;54.027;163.360;2.099;36.668;285.970;556.200;8.297;32;1.155;177;23.299;19.537;27.640;61.538;3.193.077
;02:1,01 a 1,50;5.744.577;161.218;105.257;158.540;165.763;103.992;137.148;1.437;45.125;9.585;483.570;7.335;23;1.954;45;32.359;14.394;9.618;40.717;7.222.657;6.024.434;98.358;45.006;40.978;319.100;190.257;230.327;259;45.115;9.742;423.526;2.912;13;299;67;28.111;16.465;23.526;75.282;7.573.777;0;0;0;0;11.769.011;259.576;150.263;199.518;484.863;294.249;367.475;1.696;90.240;19.327;907.096;10.247;36;2.253;112;60.470;30.859;33.144;115.999;14.796.434
;03:1,51 a 2,00;4.697.778;106.736;73.692;98.721;193.931;86.995;95.282;1.129;28.681;733;231.479;4.018;7;679;138;21.644;3.973;6.390;21.121;5.673.127;3.052.209;36.950;17.131;15.539;342.428;125.156;125.840;160;23.796;703;126.393;715;2;62;123;11.969;5.710;17.056;43.622;3.945.564;0;0;0;0;7.749.987;143.686;90.823;114.260;536.359;212.151;221.122;1.289;52.477;1.436;357.872;4.733;9;741;261;33.613;9.683;23.446;64.743;9.618.691
;04:2,01 a 3,00;4.368.381;89.856;62.706;95.541;344.199;113.697;114.666;1.957;15.038;897;139.573;2.067;8;417;142;18.229;4.911;8.407;15.397;5.396.089;2.111.842;21.585;9.353;7.990;652.980;196.437;167.195;265;12.006;1.181;65.902;297;4;10;197;9.856;8.794;21.389;43.431;3.330.714;0;0;0;0;6.480.223;111.441;72.059;103.531;997.179;310.134;281.861;2.222;27.044;2.078;205.475;2.364;12;427;339;28.085;13.705;29.796;58.828;8.726.803
;05:3,01 a 4,00;1.759.904;23.552;22.600;29.036;305.961;56.588;57.520;1.683;4.230;463;37.988;340;0;45;129;5.243;3.048;10.576;5.106;2.324.012;879.005;6.861;3.010;1.989;503.932;131.784;77.786;190;4.194;581;22.709;48;1;2;79;3.154;5.036;25.354;18.709;1.684.424;0;0;0;0;2.638.909;30.413;25.610;31.025;809.893;188.372;135.306;1.873;8.424;1.044;60.697;388;1;47;208;8.397;8.084;35.930;23.815;4.008.436
;06:4,01 a 5,00;859.353;8.385;8.872;9.700;291.155;31.841;33.824;1.283;1.892;276;15.857;124;1;9;90;2.158;1.597;1.804;2.831;1.271.052;470.444;3.099;1.272;792;387.455;80.235;42.007;129;1.866;327;9.837;25;3;1;76;1.305;2.865;3.766;9.494;1.014.998;0;0;0;0;1.329.797;11.484;10.144;10.492;678.610;112.076;75.831;1.412;3.758;603;25.694;149;4;10;166;3.463;4.462;5.570;12.325;2.286.050
;07:5,01 a 7,00;835.893;6.091;6.147;6.216;412.063;29.515;32.965;1.955;1.360;362;14.578;62;2;8;158;1.815;928;1.579;2.018;1.353.715;480.305;2.988;1.152;707;479.153;68.318;36.651;199;982;579;8.928;9;1;2;112;1.138;1.699;2.694;4.622;1.090.239;0;0;0;0;1.316.198;9.079;7.299;6.923;891.216;97.833;69.616;2.154;2.342;941;23.506;71;3;10;270;2.953;2.627;4.273;6.640;2.443.954
;08:7,01 a 10,00;596.714;2.733;3.007;2.359;308.614;12.816;22.690;2.266;1.058;174;9.528;18;0;8;288;1.660;453;932;1.650;966.968;339.741;1.516;806;303;307.236;21.210;22.143;179;870;253;5.066;4;0;1;180;863;450;1.131;2.272;704.224;0;0;0;0;936.455;4.249;3.813;2.662;615.850;34.026;44.833;2.445;1.928;427;14.594;22;0;9;468;2.523;903;2.063;3.922;1.671.192
;09:10,01 a 15,00;464.724;1.997;2.311;1.700;236.756;7.034;13.383;2.784;950;46;5.558;5;0;6;436;1.216;298;380;1.590;741.174;245.699;861;577;277;175.569;6.599;12.050;214;516;51;2.652;3;0;0;284;407;376;205;1.609;447.949;0;0;0;0;710.423;2.858;2.888;1.977;412.325;13.633;25.433;2.998;1.466;97;8.210;8;0;6;720;1.623;674;585;3.199;1.189.123
;10:15,01 a 20,00;211.677;881;1.138;1.003;106.192;2.593;3.462;1.817;347;3;1.678;1;0;0;1.378;510;119;96;494;333.389;108.968;370;240;149;69.852;1.639;2.674;108;208;6;867;0;0;0;1.010;175;74;68;477;186.885;0;0;0;0;320.645;1.251;1.378;1.152;176.044;4.232;6.136;1.925;555;9;2.545;1;0;0;2.388;685;193;164;971;520.274
;11:Mais de 20,00;349.974;1.338;1.890;1.623;95.097;1.062;1.741;13.857;220;2;2.464;5;0;2;4.310;563;14;55;177;474.394;179.788;375;202;153;51.676;691;848;201;130;3;915;0;0;0;2.476;216;16;23;103;237.816;0;0;0;0;529.762;1.713;2.092;1.776;146.773;1.753;2.589;14.058;350;5;3.379;5;0;2;6.786;779;30;78;280;712.210
;{ñ class};1.658.821;49.259;22.101;40.409;11.677;5.751;3.872;53.585;17.280;7.039;58.055;1.027;30;1.803;15.563;8.443;4.414;1.400;469;1.960.998;1.039.937;17.560;6.108;7.492;14.489;8.820;4.088;4.271;13.205;7.047;43.625;360;4;397;7.554;3.789;6.377;1.885;1.089;1.188.097;14;1;41;56;2.698.772;66.819;28.209;47.901;26.166;14.571;7.960;57.856;30.485;14.087;101.721;1.387;34;2.200;23.117;12.232;10.791;3.285;1.558;3.149.151

Seleções vigentes
Variável;Critério;Valor
Ano;igual a;2022
Vínculo Ativo 31/12;igual a;Sim
